Month,Avg_Monthly_Landings
JAN,93239.5
FEB,99951.66666666667
MAR,114694.16666666667
APR,119757.5
MAY,118448.33333333333
JUN,120679.33333333333
JUL,124175.16666666667
AUG,123696.0
SEP,121505.0
OCT,122371.16666666667
NOV,112630.66666666667
DEC,95198.16666666667
