date,state,product,production
2012-01-01,Johor,moulding,1058
2016-01-01,Johor,moulding,532
2017-01-01,Johor,moulding,691
2018-01-01,Johor,moulding,1804
2019-01-01,Johor,moulding,4122
2020-01-01,Johor,moulding,7470
2021-01-01,Johor,moulding,5932
2000-01-01,Johor,plywood,102734
2001-01-01,Johor,plywood,109977
2002-01-01,Johor,plywood,95707
2003-01-01,Johor,plywood,77002
2004-01-01,Johor,plywood,73880
2005-01-01,Johor,plywood,46546
2006-01-01,Johor,plywood,21540
2007-01-01,Johor,plywood,14500
2008-01-01,Johor,plywood,12781
2009-01-01,Johor,plywood,1397
2014-01-01,Johor,plywood,7010
2015-01-01,Johor,plywood,4695
2016-01-01,Johor,plywood,3662
2017-01-01,Johor,plywood,1412
2018-01-01,Johor,plywood,16914
2019-01-01,Johor,plywood,13290
2020-01-01,Johor,plywood,12096
2021-01-01,Johor,plywood,14278
2000-01-01,Johor,sawn_timber,420823
2001-01-01,Johor,sawn_timber,439956
2002-01-01,Johor,sawn_timber,380513
2003-01-01,Johor,sawn_timber,358671
2004-01-01,Johor,sawn_timber,374282
2005-01-01,Johor,sawn_timber,332443
2006-01-01,Johor,sawn_timber,313630
2007-01-01,Johor,sawn_timber,282724
2008-01-01,Johor,sawn_timber,282569
2009-01-01,Johor,sawn_timber,231574
2010-01-01,Johor,sawn_timber,422361
2011-01-01,Johor,sawn_timber,409120
2012-01-01,Johor,sawn_timber,418005
2013-01-01,Johor,sawn_timber,429482
2014-01-01,Johor,sawn_timber,239448
2015-01-01,Johor,sawn_timber,257741
2016-01-01,Johor,sawn_timber,230028
2017-01-01,Johor,sawn_timber,229732
2018-01-01,Johor,sawn_timber,367894
2019-01-01,Johor,sawn_timber,450215
2020-01-01,Johor,sawn_timber,324876
2021-01-01,Johor,sawn_timber,129592
2000-01-01,Johor,veneer,2499
2001-01-01,Johor,veneer,2119
2002-01-01,Johor,veneer,2081
2003-01-01,Johor,veneer,6921
2004-01-01,Johor,veneer,5741
2005-01-01,Johor,veneer,5879
2006-01-01,Johor,veneer,6350
2007-01-01,Johor,veneer,6500
2008-01-01,Johor,veneer,2977
2009-01-01,Johor,veneer,2776
2010-01-01,Johor,veneer,3529
2011-01-01,Johor,veneer,2231
2012-01-01,Johor,veneer,5138
2013-01-01,Johor,veneer,4917
2014-01-01,Johor,veneer,8245
2015-01-01,Johor,veneer,7805
2016-01-01,Johor,veneer,4214
2017-01-01,Johor,veneer,1135
2018-01-01,Johor,veneer,362
2019-01-01,Johor,veneer,12028
2020-01-01,Johor,veneer,9930
2021-01-01,Johor,veneer,4302
2000-01-01,Kedah,blockboard,57
2000-01-01,Kedah,logs,164183
2001-01-01,Kedah,logs,157005
2002-01-01,Kedah,logs,141622
2003-01-01,Kedah,logs,138246
2004-01-01,Kedah,logs,147042
2005-01-01,Kedah,logs,109480
2006-01-01,Kedah,logs,179453
2007-01-01,Kedah,logs,178092
2008-01-01,Kedah,logs,233046
2009-01-01,Kedah,logs,209330
2010-01-01,Kedah,logs,202477
2011-01-01,Kedah,logs,367822
