Year,GDP
2001,8.01097059098812
2002,8.98508140381459
2003,9.30608521643197
2004,9.27100209261509
2005,8.26229170422644
2006,8.60998284136304
2007,9.98677367962245
2008,9.96858233467411
2009,9.21910004390782
2010,10.0899159275121
