Year,Herbs Production (Tonnes),Fruits Production (Tonnes)
2001,0.1785,0.0000
2002,0.0000,0.6260
2003,0.0686,0.4552
2004,0.1147,1.0000
2005,0.0904,0.8350
2006,0.1828,0.5670
2007,0.3051,0.6517
2008,0.5167,0.7221
2009,0.7055,0.7685
2010,1.0000,0.8674
