State Name,YEAR,crop_type,Total_Production
Negeri Sembilan,2017,industrial_crops,12608.9
Negeri Sembilan,2017,paddy,10261.0
Negeri Sembilan,2017,vegetables,22026.3
Negeri Sembilan,2018,coconut,11689.0
Negeri Sembilan,2018,fruits,57281.3
Negeri Sembilan,2018,industrial_crops,12330.7
Negeri Sembilan,2018,paddy,7504.0
Negeri Sembilan,2018,vegetables,21190.2
Negeri Sembilan,2019,coconut,12768.3
Negeri Sembilan,2019,fruits,64512.0
Negeri Sembilan,2019,industrial_crops,13340.2
Negeri Sembilan,2019,paddy,7670.0
Negeri Sembilan,2019,vegetables,24419.1
Negeri Sembilan,2020,coconut,12841.4
Negeri Sembilan,2020,fruits,66524.5
Negeri Sembilan,2020,industrial_crops,13509.4
Negeri Sembilan,2020,paddy,8942.0
Negeri Sembilan,2020,vegetables,23393.2
Negeri Sembilan,2021,coconut,13856.9
Negeri Sembilan,2021,fruits,68549.3
Negeri Sembilan,2021,industrial_crops,14678.7
Negeri Sembilan,2021,paddy,4662.0
Negeri Sembilan,2021,vegetables,21367.5
Negeri Sembilan,2022,coconut,14521.2
Negeri Sembilan,2022,fruits,68198.9
Negeri Sembilan,2022,industrial_crops,15170.3
Negeri Sembilan,2022,paddy,4941.0
Negeri Sembilan,2022,vegetables,21022.5
Pahang,2017,coconut,35196.6
Pahang,2017,fruits,195934.8
Pahang,2017,industrial_crops,45421.8
Pahang,2017,paddy,28434.0
Pahang,2017,vegetables,355743.9
Pahang,2018,coconut,27059.0
Pahang,2018,fruits,208730.9
Pahang,2018,industrial_crops,37202.0
Pahang,2018,paddy,34657.0
Pahang,2018,vegetables,368063.0
Pahang,2019,coconut,24263.2
Pahang,2019,fruits,200044.8
Pahang,2019,industrial_crops,29858.7
Pahang,2019,paddy,31234.0
Pahang,2019,vegetables,335935.0
Pahang,2020,coconut,26915.8
Pahang,2020,fruits,201494.6
Pahang,2020,industrial_crops,35934.5
Pahang,2020,paddy,35524.0
Pahang,2020,vegetables,361971.3
Pahang,2021,coconut,28180.5
Pahang,2021,fruits,244209.0
Pahang,2021,industrial_crops,34941.4
Pahang,2021,paddy,50866.0
Pahang,2021,vegetables,381530.1
Pahang,2022,coconut,27270.0
Pahang,2022,fruits,271797.9
Pahang,2022,industrial_crops,43331.6
Pahang,2022,paddy,51185.0
Pahang,2022,vegetables,455641.4
Perak,2017,coconut,82466.3
Perak,2017,fruits,106278.7
Perak,2017,industrial_crops,82842.1
Perak,2017,paddy,293715.0
Perak,2017,vegetables,107265.8
Perak,2018,coconut,65900.6
Perak,2018,fruits,107891.4
Perak,2018,industrial_crops,66301.4
Perak,2018,paddy,292063.0
Perak,2018,vegetables,103631.2
Perak,2019,coconut,78644.3
Perak,2019,fruits,116374.2
Perak,2019,industrial_crops,79052.6
Perak,2019,paddy,257605.0
Perak,2019,vegetables,116983.6
Perak,2020,coconut,71588.6
Perak,2020,fruits,97985.2
Perak,2020,industrial_crops,71997.8
Perak,2020,paddy,232437.0
Perak,2020,vegetables,120423.8
Perak,2021,coconut,81288.4
Perak,2021,fruits,121457.8
Perak,2021,industrial_crops,81798.8
Perak,2021,paddy,244397.0
Perak,2021,vegetables,125308.4
Perak,2022,coconut,88291.6
Perak,2022,fruits,101488.2
Perak,2022,industrial_crops,88839.5
Perak,2022,paddy,269790.0
Perak,2022,vegetables,116765.5
Perlis,2017,coconut,2749.4
Perlis,2017,fruits,27847.9
